fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2013,Plumas,45180340,13977720,30.94,1225486
2013,Riverside,2686755755,1055126336,39.27,49558133
2013,Sacramento,2218914872,669181226,30.16,45219709
2013,San Benito,65423236,22113851,33.8,2198961
2013,San Bernardino,2533111219,785563045,31.01,86382885
2013,San Diego,3678598346,1130314701,30.73,120944457
2013,San Francisco,8796250917,1176321902,13.37,23205131
2013,San Joaquin,818915105,262245069,32.02,15216247
2013,San Luis Obispo,391448982,131286887,33.54,11167531
2013,San Mateo,941617364,330890236,35.14,2052254
2013,Santa Barbara,697162730,289546147,41.53,28373820
2013,Santa Clara,2183621613,691901055,31.69,19129402
2013,Santa Cruz,421055100,116197672,27.6,13003269
2013,Shasta,268975666,76536427,28.45,7536024
2013,Sierra,17123056,4301196,25.12,393504
2013,Siskiyou,81450721,26935297,33.07,2521817
2013,Solano,556713187,171765187,30.85,18160006
2013,Sonoma,719766335,254818057,35.4,22424726
2013,Stanislaus,688383695,168374410,24.46,12858010
2013,Sutter,140537958,38131876,27.13,5158836
2013,Tehama,106676554,30803542,28.88,3383675
2013,Trinity,39844947,11931294,29.94,1128500
2013,Tulare,653783441,184342745,28.2,12292360
2013,Tuolumne,94757726,33714042,35.58,3870703
2013,Ventura,933072143,426812164,45.74,23419111
2013,Yolo,255228998,77693996,30.44,8630115
2013,Yuba,120254197,42210155,35.1,5211889
2014,Alameda,2405508090,669127081,27.82,48460452
2014,Alpine,18591796,4677935,25.16,190967
2014,Amador,61442440,28576949,46.51,2080442
2014,Butte,323578477,86944080,26.87,9296142
2014,Calaveras,77286951,20013312,25.89,2359233
2014,Colusa,53993498,18588258,34.43,1821868
2014,Contra Costa,1326143887,389274242,29.35,17631839
2014,Del Norte,62880908,16694405,26.55,1535664
2014,El Dorado,275707199,99801953,36.2,7546056
2014,Fresno,1231471652,347221569,28.2,29397711
2014,Glenn,62453561,18186910,29.12,1813441
2014,Humboldt,253119098,68875041,27.21,7183893
2014,Imperial,282812685,85516962,30.24,8566723
2014,Inyo,62075868,24571857,39.58,1470815
2014,Kern,1373927307,543961543,39.59,38343501
2014,Kings,198913637,69458795,34.92,8031181
2014,Lake,120025015,36007279,30.0,3183253
2014,Lassen,55854931,18049300,32.31,906916
2014,Los Angeles,15338824039,4914176812,32.04,424613053
2014,Madera,186193727,56661263,30.43,4492282
2014,Marin,487500294,146554181,30.06,15041984
2014,Mariposa,51447811,18830596,36.6,1729227
2014,Mendocino,176585219,47044313,26.64,4628077
2014,Merced,391230296,113091339,28.91,13403819
2014,Modoc,23982051,5563189,23.2,272552
2014,Mono,48249659,17283495,35.82,1228676
2014,Monterey,601061302,200636217,33.38,23475093
2014,Napa,301618400,103976004,34.47,12098292
2014,Nevada,129782250,48928696,37.7,3507801
2014,Orange,3228619061,1163696671,36.04,97581812
2014,Placer,540723763,177439648,32.82,19519130
2014,Plumas,47018822,14282679,30.38,1091082
2014,Riverside,2883000542,1128894287,39.16,55952195
2014,Sacramento,2315224744,710180631,30.67,54402643
2014,San Benito,67284671,24037302,35.72,2182864
2014,San Bernardino,2736542872,836509398,30.57,90772627
2014,San Diego,3864895702,1218166636,31.52,135280829
2014,San Francisco,9186897131,1202775639,13.09,23489130
2014,San Joaquin,839808559,268833522,32.01,14580255
2014,San Luis Obispo,409541806,134394650,32.82,12116417
2014,San Mateo,1065515985,346368220,32.51,5521570
2014,Santa Barbara,676991126,250064553,36.94,30251031
2014,Santa Clara,2403720753,752968514,31.33,20034898
2014,Santa Cruz,422250736,120711784,28.59,13736944
2014,Shasta,264336720,76702204,29.02,8751564
2014,Sierra,16920417,4069733,24.05,407061
2014,Siskiyou,88843436,28199337,31.74,2836081
2014,Solano,589592674,184343164,31.27,20853069
2014,Sonoma,784898090,262306140,33.42,21911873
2014,Stanislaus,719879892,176653819,24.54,17295555
2014,Sutter,133713937,35774353,26.75,5514785
2014,Tehama,112031237,32109112,28.66,4246476
2014,Trinity,42866344,11258552,26.26,1162265
2014,Tulare,673561553,194994027,28.95,13841229
2014,Tuolumne,93883447,35266474,37.56,4257406
2014,Ventura,990482520,448394561,45.27,25481697
2014,Yolo,248934485,83471889,33.53,9717043
2014,Yuba,122510894,43644838,35.63,5316638
2015,Alameda,2462509900,717265867,29.13,60815340
2015,Alpine,14476217,4300016,29.7,188425
2015,Amador,64414003,30059964,46.67,2131982
2015,Butte,339807956,91136790,26.82,10322804
2015,Calaveras,69843783,20393969,29.2,2329008
2015,Colusa,49696248,18741106,37.71,1686348
2015,Contra Costa,1399746397,428359460,30.6,20221080
2015,Del Norte,69817195,16827985,24.1,1637008
2015,El Dorado,303869282,111091047,36.56,9025454
2015,Fresno,1291055446,361478271,28.0,32516031
2015,Glenn,57947877,18504049,31.93,1611042
2015,Humboldt,256363164,66237173,25.84,6937213
2015,Imperial,322610989,91700132,28.42,8053980
2015,Inyo,57785754,23219789,40.18,1339906
2015,Kern,1342545699,556615342,41.46,39140016
2015,Kings,224669014,72505622,32.27,8786907
2015,Lake,114762883,35871480,31.26,2744103
2015,Lassen,54970114,18320439,33.33,1273996
2015,Los Angeles,16078653010,5218397698,32.46,453955558
2015,Madera,196512424,62327415,31.72,7752791
2015,Marin,474553524,141062929,29.73,14907343
2015,Mariposa,55638396,20162975,36.24,1904668
2015,Mendocino,191113676,50511798,26.43,4917649
2015,Merced,409767732,114844072,28.03,14551515
2015,Modoc,26594383,6667410,25.07,287320
2015,Mono,47621351,15311364,32.15,1308993
2015,Monterey,645193867,210240725,32.59,18747707
2015,Napa,289080899,119802679,41.44,11847069
2015,Nevada,132730865,52162704,39.3,3917143
2015,Orange,3243353396,1209059471,37.28,104046447
2015,Placer,567993038,188677949,33.22,17361250
2015,Plumas,50800749,14851658,29.24,1372868
2015,Riverside,3077616212,1179328962,38.32,62245885
2015,Sacramento,2419603554,756726199,31.27,63308863
2015,San Benito,72747211,26835432,36.89,2282359
2015,San Bernardino,2708672864,857324663,31.65,98153506
2015,San Diego,3819505176,1296165711,33.94,137829011
2015,San Francisco,8714725645,1284590451,14.74,25928426
2015,San Joaquin,881804722,283340703,32.13,14059737
2015,San Luis Obispo,441832897,139918295,31.67,12896658
2015,San Mateo,1097632379,357428722,32.56,9643734
2015,Santa Barbara,736802016,260365550,35.34,32245088
2015,Santa Clara,2565835468,796115170,31.03,19726843
2015,Santa Cruz,438246671,126886716,28.95,14564269
2015,Shasta,269351723,80450103,29.87,9468881
2015,Sierra,14864752,4532386,30.49,442047
2015,Siskiyou,82110373,28597900,34.83,3274326
2015,Solano,579084411,193488570,33.41,23797006
2015,Sonoma,776240341,274186832,35.32,27522803
2015,Stanislaus,749895852,188336881,25.12,18769416
2015,Sutter,143393702,36411209,25.39,5474168
2015,Tehama,114813410,34572221,30.11,4903710
2015,Trinity,46230117,11529844,24.94,1203704
2015,Tulare,665138187,195940821,29.46,15689625
2015,Tuolumne,110575455,43889161,39.69,4479396
2015,Ventura,1020752347,464890022,45.54,20311956
2015,Yolo,260494947,87692775,33.66,9909553
2015,Yuba,151271338,47176357,31.19,5673289
2016,Alameda,2466628582,737314237,29.89,77745900
2016,Alpine,14796384,4606291,31.13,270270
2016,Amador,66607455,31189523,46.83,2052277
2016,Butte,351816631,105322709,29.94,11501942
2016,Calaveras,73920622,23445019,31.72,2363278
2016,Colusa,53930169,18797037,34.85,1390113
2016,Contra Costa,1420345998,428714988,30.18,21126667
2016,Del Norte,70434915,18204650,25.85,1804196
2016,El Dorado,311702972,116488638,37.37,9820922
2016,Fresno,1361178576,342975000,25.2,31562697
2016,Glenn,60102486,19100962,31.78,1758996
2016,Humboldt,275867186,71949744,26.08,7928245
2016,Imperial,307045043,96545966,31.44,9334449
2016,Inyo,62090292,24102781,38.82,1468201
2016,Kern,1406437064,587789657,41.79,42650754
2016,Kings,243599118,75541419,31.01,8952003
2016,Lake,134980355,38668159,28.65,3447119
2016,Lassen,64714622,19500889,30.13,1308420
2016,Los Angeles,16643549417,5473086494,32.88,473330733
2016,Madera,207567254,74607860,35.94,13340599
2016,Marin,555569944,146945998,26.45,16049238
2016,Mariposa,58004287,20633830,35.57,2036165
2016,Mendocino,200619241,54680358,27.26,5116419
2016,Merced,423086966,124912446,29.52,15668441
2016,Modoc,27125884,6145526,22.66,282349
2016,Mono,48937241,16869113,34.47,1466394
2016,Monterey,691614828,217677298,31.47,18815506
2016,Napa,319925036,122913132,38.42,12565994
2016,Nevada,144326046,55704289,38.6,4605058
2016,Orange,3396602407,1266746269,37.29,110026529
2016,Placer,567780132,206911626,36.44,17523817
2016,Plumas,56994974,15646588,27.45,1408630
2016,Riverside,3246431847,1272423374,39.19,72589567
2016,Sacramento,2560203617,839662109,32.8,70451888
2016,San Benito,72090672,28114374,39.0,2882830
2016,San Bernardino,2715197008,901099370,33.19,103248578
2016,San Diego,3920874685,1300204278,33.16,134571821
2016,San Francisco,9660346514,1372809537,14.21,29283059
2016,San Joaquin,880755900,292319913,33.19,16682844
2016,San Luis Obispo,499416757,148546458,29.74,14559475
2016,San Mateo,1167263448,383316165,32.84,13041621
2016,Santa Barbara,743216172,262634387,35.34,33457246
2016,Santa Clara,2788496855,859987088,30.84,20417511
2016,Santa Cruz,459520668,137264772,29.87,15534295
2016,Shasta,273711555,84141853,30.74,9403228
2016,Sierra,16274942,4920130,30.23,480771
2016,Siskiyou,84005125,29616802,35.26,3560671
2016,Solano,614120726,209485861,34.11,25842657
2016,Sonoma,855561216,284550224,33.26,29910903
2016,Stanislaus,814692121,201285784,24.71,20761800
2016,Sutter,142047492,37494147,26.4,5462854
2016,Tehama,114640010,37147082,32.4,5389438
2016,Trinity,51195146,12389553,24.2,1435782
2016,Tulare,708949390,204955405,28.91,14218028
2016,Tuolumne,119999912,38804285,32.34,4527893
2016,Ventura,1091204691,481834146,44.16,30147936
2016,Yolo,293361965,95723526,32.63,10268117
2016,Yuba,148555164,48672085,32.76,5858055
2017,Alameda,2588588500,697431480,26.94,77667809
2017,Alpine,16806357,4837872,28.79,273270
2017,Amador,72117668,32626947,45.24,2213953
2017,Butte,384339119,116254752,30.25,14077909
2017,Calaveras,100259592,22900254,22.84,1442794
2017,Colusa,53460692,19020245,35.58,1592376
2017,Contra Costa,1475103173,450797330,30.56,19685546
2017,Del Norte,63647543,17677451,27.77,1775834
2017,El Dorado,310074517,117996123,38.05,10238082
2017,Fresno,1423386000,359422000,25.25,36977000
2017,Glenn,67758339,19998514,29.51,1920321
2017,Humboldt,283952851,73579463,25.91,7747730
2017,Imperial,385857615,103278957,26.77,10834635
2017,Inyo,65007601,24470833,37.64,1432187
2017,Kern,1517953282,550686638,36.28,43449500
2017,Kings,246748316,80964068,32.81,9212417
2017,Lake,126088302,38060607,30.19,4377129
2017,Lassen,63161097,20666001,32.72,1330332
2017,Los Angeles,17460276600,5684355050,32.56,499174576
2017,Madera,228616422,72660677,31.78,5154077
2017,Marin,482432627,167641673,34.75,16538554
2017,Mariposa,61849167,21725469,35.13,2232321
2017,Mendocino,206413217,56246148,27.25,4839508
2017,Merced,440014774,131953853,29.99,16842575
2017,Modoc,30446112,6557945,21.54,361386
2017,Mono,46866507,17473534,37.28,1222872
2017,Monterey,744393302,234872664,31.55,20020726
2017,Napa,315045170,124951108,39.66,13818076
2017,Nevada,160631040,58821593,36.62,5488520
2017,Orange,3605697313,1338652066,37.13,116959644
2017,Placer,581789627,219327408,37.7,19491239
2017,Plumas,56483833,16002479,28.33,1582907
2017,Riverside,3360237509,1320584946,39.3,76112762
2017,Sacramento,2657611000,817939000,30.78,79873000
2017,San Benito,72638931,29181581,40.17,3238022
2017,San Bernardino,2943422540,937764512,31.86,102928293
2017,San Diego,3820710613,1366725049,35.77,138930712
2017,San Francisco,5245458877,1350023020,25.74,31507720
2017,San Joaquin,939688058,309093695,32.89,30962948
2017,San Luis Obispo,492394288,155563727,31.59,15090637
2017,San Mateo,1188676610,395544628,33.28,10765118
2017,Santa Barbara,782848707,273640731,34.95,34924832
2017,Santa Clara,2908613963,897149245,30.84,0
2017,Santa Cruz,496696991,145113871,29.22,16963284
2017,Shasta,288555952,87415365,30.29,10359528
2017,Sierra,17992798,4978624,27.67,532958
2017,Siskiyou,89425312,30612938,34.23,2058129
2017,Solano,657302890,223852814,34.06,26456815
2017,Sonoma,878644360,301704156,34.34,34413189
2017,Stanislaus,873024465,225305249,25.81,37245416
2017,Sutter,192468237,62600674,32.53,5712096
2017,Tehama,126099895,37378482,29.64,5507144
2017,Trinity,45492586,12104590,26.61,1406813
2017,Tulare,729155977,212837679,29.19,15613478
2017,Tuolumne,121561096,40959630,33.69,4261431
2017,Ventura,1117505690,493779315,44.19,30787562
2017,Yolo,300377921,98779540,32.89,10158031
2017,Yuba,171577139,63978584,37.29,6495254
2018,Alameda,2684465939,734875595,27.38,93205440
2018,Alpine,18038469,5074405,28.13,367556
2018,Amador,71910817,31270379,43.48,2673935
2018,Butte,403597606,124608779,30.87,14824386
2018,Calaveras,97622364,25329062,25.95,1536627
2018,Colusa,56889278,20292266,35.67,1839338
2018,Contra Costa,1540040402,474808886,30.83,21419824
2018,Del Norte,66074031,17938450,27.15,1890320
2018,El Dorado,334578016,122925779,36.74,10708626
2018,Fresno,1531376000,383305000,25.03,42204000
2018,Glenn,73698470,21891712,29.7,2423216
2018,Humboldt,322663482,85539372,26.51,8406746
2018,Imperial,386952686,103957630,26.87,11423326
2018,Inyo,65208365,24523008,37.61,1474505
2018,Kern,1540151448,560210753,36.37,43954961
2018,Kings,256431501,82401250,32.13,9168332
2018,Lake,125653098,37558632,29.89,4065955
2018,Lassen,63786933,21988416,34.47,1637122
2018,Los Angeles,18540254521,5733805818,30.93,526660553
2018,Madera,242911881,77995180,32.11,5044315
2018,Marin,547777788,177219217,32.35,16311605
2018,Mariposa,69223535,23483569,33.92,2122439
2018,Mendocino,230097635,62676206,27.24,5089022
2018,Merced,481746083,142792497,29.64,18055248
2018,Modoc,28605063,6611966,23.11,403819
2018,Mono,53568979,19508431,36.42,1433239
2018,Monterey,815003771,246791105,30.28,21824331
2018,Napa,352432118,134346542,38.12,14170306
2018,Nevada,158151466,62061980,39.24,5374026
2018,Orange,3885056491,1398664460,36.0,96053435
2018,Placer,606924787,238319179,39.27,26898109
2018,Plumas,58298516,16003649,27.45,1577115
2018,Riverside,3324343310,1327057577,39.92,78250528
2018,Sacramento,2783826000,860247000,30.9,86125000
2018,San Benito,87357259,30974903,35.46,3088099
2018,San Bernardino,3043189658,970589353,31.89,118401735
2018,San Diego,4308081088,1476687958,34.28,138085155
2018,San Francisco,5840320731,,,33112507
2018,San Joaquin,1088651472,336440782,30.9,34278508
2018,San Luis Obispo,587856658,165004769,28.07,15105497
2018,San Mateo,1284950589,404437042,31.47,16484581
2018,Santa Barbara,807069078,288360721,35.73,36009401
2018,Santa Clara,3082172023,935130646,30.34,26745819
2018,Santa Cruz,533816871,151294154,28.34,17022280
2018,Shasta,312399222,95453270,30.55,11197728
2018,Sierra,20032504,5017420,25.05,627673
2018,Siskiyou,96598893,33660479,34.85,2069499
2018,Solano,772854431,230688921,29.85,27028061
2018,Sonoma,932013112,316573895,33.97,38828518
2018,Stanislaus,918545022,246183737,26.8,42591867
2018,Sutter,222329739,74498883,33.51,6310967
2018,Tehama,118626148,39154070,33.01,5897718
2018,Trinity,48201871,12572139,26.08,1405956
2018,Tulare,790609074,228735525,28.93,15541945
2018,Tuolumne,128584001,42975034,33.42,4151911
2018,Ventura,1130987710,510618398,45.15,32531342
2018,Yolo,313777430,103555772,33.0,10368839
2018,Yuba,161765667,55482855,34.3,6508967
2019,Alameda,3052461654,992770431,32.52,95174122
2019,Alpine,21808843,5293040,24.27,410938
2019,Amador,78443351,39213479,49.99,2410579
2019,Butte,428672139,131211216,30.61,16186105
2019,Calaveras,135314405,27478371,20.31,1631417
2019,Colusa,57096132,22490290,39.39,1591569
2019,Contra Costa,1919318138,731106594,38.09,22669976
2019,Del Norte,69277367,19164296,27.66,2198072
2019,El Dorado,408498682,128847119,31.54,11735566
2019,Fresno,1617026000,431489000,26.68,47475000
2019,Glenn,87069890,24786619,28.47,2726649
2019,Humboldt,351870843,89661496,25.48,8570852
2019,Imperial,385819280,98307840,25.48,10787384
2019,Inyo,66096315,25109687,37.99,1481303
2019,Kern,1548329505,575257922,37.15,42276528
2019,Kings,257907698,89378209,34.66,9018321
2019,Lake,159965743,41932963,26.21,3839333
2019,Lassen,64836759,22805479,35.17,1586315
2019,Los Angeles,22325656913,7519515710,33.68,537405953
2019,Madera,269572469,89159118,33.07,5962538
2019,Marin,581492046,191266550,32.89,16735493
2019,Mariposa,77508745,26288744,33.92,2359267
2019,Mendocino,239091552,64480933,26.97,4725067
2019,Merced,503112784,145012018,28.82,19153535
2019,Modoc,32441308,7062823,21.77,439507
2019,Mono,59771893,20002574,33.46,1903853
2019,Monterey,870948760,261943247,30.08,21212855
2019,Napa,337306163,137917949,40.89,15633076
2019,Nevada,166818175,65084382,39.02,5445654
2019,Orange,4229751568,1540859035,36.43,99944761
2019,Placer,604106909,248635866,41.16,23179235
2019,Plumas,60762691,17940372,29.53,1596008
2019,Riverside,3468275806,1373102756,39.59,77516183
2019,Sacramento,2899535000,918419000,31.67,78640000
2019,San Benito,104999446,32102869,30.57,3270060
2019,San Bernardino,3567116338,1265126690,35.47,115734360
2019,San Diego,4503597579,1569504807,34.85,149351789
2019,San Francisco,6260101702,,,39420046
2019,San Joaquin,1087421613,353363860,32.5,45095096
2019,San Luis Obispo,535979423,179638476,33.52,15340785
2019,San Mateo,1386924871,435216627,31.38,16792840
2019,Santa Barbara,931643862,384397325,41.26,36357816
2019,Santa Clara,3725620176,1155693275,31.02,25601457
2019,Santa Cruz,564192631,170758784,30.27,18080436
2019,Shasta,330442381,94790858,28.69,10765070
2019,Sierra,20620277,5050628,24.49,730081
2019,Siskiyou,101607289,34060167,33.52,2003144
2019,Solano,704990356,246023144,34.9,27304672
2019,Sonoma,939071790,340814215,36.29,39887089
2019,Stanislaus,978457304,285138425,29.14,46792492
2019,Sutter,224934459,75250621,33.45,6684462
2019,Tehama,124405214,40063787,32.2,5989974
2019,Trinity,50792338,13340518,26.26,1613484
2019,Tulare,818828402,244410977,29.85,16192338
2019,Tuolumne,155223299,47444081,30.57,4367844
2019,Ventura,1377361165,724822728,52.62,35182366
2019,Yolo,380144063,108589154,28.57,9309256
2019,Yuba,174803270,59364806,33.96,6760132
2020,Alameda,3283119418,1039712538,31.67,108307188
2020,Alpine,24932121,5827302,23.37,398824
2020,Amador,89539439,44799416,50.03,2415352
2020,Butte,433901019,133683336,30.81,15877551
2020,Calaveras,119006411,29409120,24.71,1806091
2020,Colusa,57686782,22394548,38.82,1891190
2020,Contra Costa,2024404673,736755069,36.39,24126388
2020,Del Norte,71655572,18847688,26.3,2299357
2020,El Dorado,412083595,135953790,32.99,12912605
2020,Fresno,1754319000,467157000,26.63,49293000
2020,Glenn,94042837,26397996,28.07,2466279
2020,Humboldt,0,0,,0
2020,Imperial,400455124,106441738,26.58,8480312
2020,Inyo,74021747,26548119,35.87,1387934
2020,Kern,1713001145,574650913,33.55,49902176
2020,Kings,278251158,92465368,33.23,9198232
2020,Lake,154806484,41987035,27.12,4557966
2020,Lassen,74114079,22867713,30.85,2131107
2020,Los Angeles,24066786922,7752608447,32.21,550239544
2020,Madera,365864222,97652491,26.69,6377922
2020,Marin,615726831,202881956,32.95,16577421
2020,Mariposa,80829068,25678214,31.77,2136558
2020,Mendocino,252062013,68540268,27.19,5159060
2020,Merced,539413282,150013937,27.81,19291199
2020,Modoc,34941750,6833410,19.56,468697
2020,Mono,74934796,20922079,27.92,2089244
2020,Monterey,881543171,286077623,32.45,25431383
2020,Napa,367288861,145082437,39.5,15924767
2020,Nevada,195034659,68950178,35.35,5510720
2020,Orange,4431682737,1547840833,34.93,105464293
2020,Placer,714761404,269475014,37.7,22034099
2020,Plumas,62930721,18348364,29.16,1637042
2020,Riverside,4654447757,1995530456,42.87,114415258
2020,Sacramento,3054391211,971534651,31.81,82928256
2020,San Benito,110578496,35391884,32.01,3266041
2020,San Bernardino,3868943880,1319331328,34.1,150390789
2020,San Diego,5083693218,1652852506,32.51,151247528
2020,San Francisco,7030538009,,,44088481
2020,San Joaquin,1178438161,374661973,31.79,48022549
2020,San Luis Obispo,591728983,198905795,33.61,16713996
2020,San Mateo,1463722273,443104876,30.27,15402114
2020,Santa Barbara,959359640,406102085,42.33,36818535
2020,Santa Clara,3787152318,1094273884,28.89,23026378
2020,Santa Cruz,620300033,178608806,28.79,19196172
2020,Shasta,348640950,96075231,27.56,11551540
2020,Sierra,23204458,4866308,20.97,613685
2020,Siskiyou,103511842,33533534,32.4,1902812
2020,Solano,728852681,251349438,34.49,29130828
2020,Sonoma,990947673,350655144,35.39,45297617
2020,Stanislaus,1208434081,300712903,24.88,47196575
2020,Sutter,206079602,52718793,25.58,6860691
2020,Tehama,135026282,39764058,29.45,5977846
2020,Trinity,62174682,14156296,22.77,1748997
2020,Tulare,853476620,252651642,29.6,16344000
2020,Tuolumne,146002573,45698472,31.3,4505337
2020,Ventura,1485906231,755771636,50.86,34553756
2020,Yolo,404811345,116638091,28.81,10493855
2020,Yuba,192615190,64886850,33.69,7458474
2021,Alameda,4493129705,1876424349,41.76,114433601
2021,Alpine,20221856,6101417,30.17,386948
2021,Amador,94964293,51686458,54.43,2590578
2021,Butte,492235398,134151385,27.25,15772012
2021,Calaveras,124551175,33245451,26.69,1964412
2021,Colusa,66185664,24861494,37.56,2028843
2021,Contra Costa,2157917292,738025544,34.2,25556283
2021,Del Norte,74838477,19390914,25.91,2136800
2021,El Dorado,404711369,130348438,32.21,12729722
2021,Fresno,1935173164,502162588,25.95,52142085
2021,Glenn,94429127,26777201,28.36,2624971
2021,Humboldt,0,0,,0
2021,Imperial,419378280,105126179,25.07,8616263
2021,Inyo,79308603,28199679,35.56,1338052
2021,Kern,1747002756,552337385,31.62,44648016
2021,Kings,301910520,96343594,31.91,9346336
2021,Lake,170563450,46445151,27.23,4364075
2021,Lassen,72872635,22970684,31.52,2059745
2021,Los Angeles,26019219296,7959753076,30.59,566730255
2021,Madera,317771980,95126912,29.94,6146760
2021,Marin,688842956,231806418,33.65,17163922
2021,Mariposa,80078148,24462901,30.55,2198427
2021,Mendocino,293209684,75708391,25.82,5605500
2021,Merced,580012390,150950072,26.03,19505265
2021,Modoc,32904251,7093573,21.56,524613
2021,Mono,59387152,21415807,36.06,2208055
2021,Monterey,931002983,327136459,35.14,26122155
2021,Napa,362819339,155666141,42.9,15294789
2021,Nevada,195738245,66664074,34.06,5749875
2021,Orange,5053644247,1600139957,31.66,99943828
2021,Placer,703614430,279938883,39.79,22925370
2021,Plumas,64559706,17885970,27.7,1491126
2021,Riverside,4307965818,1614101885,37.47,79171394
2021,Sacramento,3205418543,1007917922,31.44,93528781
2021,San Benito,131367084,42188552,32.12,3182732
2021,San Bernardino,4079272861,1474824799,36.15,144697632
2021,San Diego,5829821846,1633730903,28.02,147655641
2021,San Francisco,7263536774,,,47241709
2021,San Joaquin,1279245641,394130570,30.81,48852853
2021,San Luis Obispo,598039291,192871006,32.25,16195685
2021,San Mateo,1741538921,450171999,25.85,16382665
2021,Santa Barbara,1041684418,420123417,40.33,40094528
2021,Santa Clara,4276303037,1116463585,26.11,23403849
2021,Santa Cruz,715995713,191796496,26.79,20639115
2021,Shasta,388893964,105293270,27.08,11752331
2021,Sierra,23618898,5276695,22.34,524148
2021,Siskiyou,107945130,35425359,32.82,2573516
2021,Solano,777584616,261140769,33.58,30236649
2021,Sonoma,1133198952,360633172,31.82,48009248
2021,Stanislaus,1157903216,311245507,26.88,46200393
2021,Sutter,224023783,54936252,24.52,6334067
2021,Tehama,142808980,40254558,28.19,5660946
2021,Trinity,65816149,15273470,23.21,2021746
2021,Tulare,922089272,262077347,28.42,15641886
2021,Tuolumne,140807776,48488473,34.44,4581398
2021,Ventura,1672058310,810652115,48.48,32817225
2021,Yolo,408160245,115339707,28.26,10085675
2021,Yuba,202187352,73448802,36.33,7671354
2022,Alameda,3698514667,1075690424,29.08,119438880
2022,Alpine,21629138,6556703,30.31,502826
2022,Amador,109733159,53707276,48.94,2832335
2022,Butte,495558617,148608353,29.99,16716430
2022,Calaveras,139491369,33251810,23.84,2155665
2022,Colusa,66565389,25046140,37.63,2052699
2022,Contra Costa,2247008562,831565155,37.01,26734928
2022,Del Norte,74476209,19281415,25.89,2150955
2022,El Dorado,408247308,142109917,34.81,13061156
2022,Fresno,2052655758,514366655,25.06,52786294
2022,Glenn,113031391,29107483,25.75,2819836
2022,Humboldt,398834057,103994198,26.07,8399405
2022,Imperial,436903294,112568599,25.77,9633371
2022,Inyo,90130163,28523503,31.65,1445027
2022,Kern,1843822093,626893548,34.0,90034220
2022,Kings,334668103,101730280,30.4,11936989
2022,Lake,178098924,50302224,28.24,4697602
2022,Lassen,81020809,24397572,30.11,2085329
2022,Los Angeles,26233684988,8500393674,32.4,593519665
2022,Madera,345339100,104810700,30.35,6413053
2022,Marin,666912364,217517717,32.62,17587965
2022,Mariposa,85400728,23913739,28.0,2486454
2022,Mendocino,0,0,,0
2022,Merced,559710342,157489775,28.14,20363561
2022,Modoc,34220283,7347646,21.47,598442
2022,Mono,63058585,21027310,33.35,2743558
2022,Monterey,978715179,323789727,33.08,26917633
2022,Napa,407835319,161502771,39.6,16309583
2022,Nevada,213720447,74428925,34.83,6461916
2022,Orange,4868939838,1646803995,33.82,96582632
2022,Placer,720932775,292927739,40.63,23297610
2022,Plumas,67713344,21787871,32.18,1526952
2022,Riverside,4558024308,1581875493,34.71,81776123
2022,Sacramento,3351062498,1050490392,31.35,97344975
2022,San Benito,123090269,39922790,32.43,3580962
2022,San Bernardino,4162251211,1456111153,34.98,149470302
2022,San Diego,5764824643,1730018681,30.01,145002005
2022,San Francisco,7631440718,,,46862288
2022,San Joaquin,1410145087,422544908,29.96,53244758
2022,San Luis Obispo,668380334,203020064,30.37,17793003
2022,San Mateo,1789365753,455730095,25.47,14459008
2022,Santa Barbara,1115738042,452528058,40.56,42510376
2022,Santa Clara,4494896390,1158154536,25.77,20583236
2022,Santa Cruz,836669794,312701157,37.37,43732733
2022,Shasta,407697079,109768118,26.92,12897538
2022,Sierra,44656122,11842832,26.52,1481064
2022,Siskiyou,107916948,36390315,33.72,2625902
2022,Solano,834447898,281851242,33.78,32211606
2022,Sonoma,1167410088,366833327,31.42,47069905
2022,Stanislaus,999603301,340505739,34.06,48096642
2022,Sutter,207964959,54869951,26.38,7135634
2022,Tehama,155292045,42061921,27.09,6191758
2022,Trinity,63526119,16711678,26.31,1962233
2022,Tulare,1046664084,280718432,26.82,17931254
2022,Tuolumne,166421809,57547263,34.58,4714376
2022,Ventura,1656891159,769722024,46.46,35339176
2022,Yolo,439535786,113466358,25.82,6622164
2022,Yuba,223647507,73906050,33.05,8031004
2023,Alameda,3701213365,1088345756,29.41,124864725
2023,Alpine,27344319,6393916,23.38,663714
2023,Amador,106793551,52695781,49.34,2949977
2023,Butte,507518793,152805334,30.11,19139077
2023,Calaveras,150825870,35279012,23.39,2019283
2023,Colusa,78786026,26538423,33.68,2024734
2023,Contra Costa,2301641450,894385409,38.86,27842124
2023,Del Norte,82729490,21032110,25.42,2024003
2023,El Dorado,508751796,164737278,32.38,14804364
2023,Fresno,2117785762,565989582,26.73,56168392
2023,Glenn,125533038,30159020,24.02,2737032
2023,Humboldt,431508400,119346273,27.66,8648561
2023,Imperial,493943271,120250787,24.35,10840126
2023,Inyo,91632406,30667015,33.47,1642729
2023,Kern,2103939683,690284527,32.81,56362428
2023,Kings,362651898,108894292,30.03,11242309
2023,Lake,207690332,52320504,25.19,5533376
