fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2004,San Luis Obispo,328975787,92347084,28.07,2934437
2004,San Mateo,713517804,235182135,32.96,3139464
2004,Santa Barbara,560645386,209605180,37.39,18912490
2004,Santa Clara,2009689989,541008874,26.92,16658216
2004,Santa Cruz,319510764,94299237,29.51,7717735
2004,Shasta,226912446,60395986,26.62,4681877
2004,Sierra,12777755,3424476,26.8,248340
2004,Siskiyou,78466098,27348610,34.85,1406867
2004,Solano,533503033,153645819,28.8,17582581
2004,Sonoma,572401071,200155729,34.97,9313727
2004,Stanislaus,539975507,136342112,25.25,7878798
2004,Sutter,100627124,23965700,23.82,2741086
2004,Tehama,79517986,22285100,28.03,2459806
2004,Trinity,37389014,10663318,28.52,919507
2004,Tulare,489111851,138109657,28.24,10252092
2004,Tuolumne,78653992,25302605,32.17,2243099
2004,Ventura,749219504,317909980,42.43,12509653
2004,Yolo,168811848,52003640,30.81,3937372
2004,Yuba,106213394,32525113,30.62,3995254
2005,Alameda,1693220824,478118230,28.24,45387951
2005,Alpine,11960809,3803358,31.8,200126
2005,Amador,49943958,20971445,41.99,1786047
2005,Butte,292395682,82450418,28.2,7609089
2005,Calaveras,54147175,16344335,30.19,1137226
2005,Colusa,31855558,11473793,36.02,1045528
2005,Contra Costa,1136776004,325122733,28.6,23235499
2005,Del Norte,47562731,13901471,29.23,916826
2005,El Dorado,218246644,82121823,37.63,4767208
2005,Fresno,1035184807,262316882,25.34,21242504
2005,Glenn,55049039,15315428,27.82,1141590
2005,Humboldt,181213384,46203110,25.5,4855027
2005,Imperial,203289711,53911125,26.52,3167171
2005,Inyo,45032310,18382295,40.82,1057405
2005,Kern,965863559,329386642,34.1,20634015
2005,Kings,158454006,47372475,29.9,6920719
2005,Lake,91397279,29031462,31.76,1714925
2005,Lassen,50224041,16795656,33.44,1063113
2005,Los Angeles,11417657981,3426001446,30.01,255010575
2005,Madera,135653661,42395499,31.25,3005463
2005,Marin,329760867,105767555,32.07,8114393
2005,Mariposa,40837388,13022785,31.89,902721
2005,Mendocino,151745950,38446518,25.34,3036524
2005,Merced,285437844,78950428,27.66,5329096
2005,Modoc,24200823,5551464,22.94,335802
2005,Mono,37610031,11364630,30.22,363281
2005,Monterey,492408665,150813334,30.63,12265764
2005,Napa,183779813,68596208,37.33,5682678
2005,Nevada,100441789,42361200,42.17,3018683
2005,Orange,2581563019,881989620,34.16,75155537
2005,Placer,351285048,118388749,33.7,12748564
2005,Plumas,52813800,14141390,26.78,1103656
2005,Riverside,1948068103,745973892,38.29,29529553
2005,Sacramento,1910429907,552747690,28.93,26974052
2005,San Benito,56747296,18526174,32.65,1450747
