year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2005,Sacramento,06067,1360816.0,916114.0,3639.8,475.5,3246.0,4753.2,2259.2,1380.6,55786.0,1276.4,965.5,1183.3,251.6,7.8,397.3,7045.0,396.0,6649.0,2912.0,1165.0,2408.0,84.0,78.0,769.0,4746.0,10379.8,1133.0,2005,1910429907,552747690,28.93,26974052,17542,0,17542
2006,Sacramento,06067,1369563.0,924983.0,4146.5,556.1,3588.9,4764.5,2265.8,1880.7,64249.0,1430.2,1073.6,1310.1,278.7,13.2,448.3,7261.0,413.0,6848.0,3023.0,1191.0,2437.0,93.0,80.0,785.0,4548.0,10860.4,1174.1,2006,2113600402,628569334,29.74,31446584,16420,0,16420
2007,Sacramento,06067,1381161.0,934809.0,4552.8,579.5,3915.4,4830.5,2323.3,2229.4,68802.0,1555.7,1161.7,1423.5,307.5,16.8,487.0,7428.0,412.0,7016.0,3186.0,1256.0,2338.0,89.0,90.0,794.6,4715.0,11267.4,1205.3,2007,2308628438,684522931,29.65,38317228,19181,0,19181
2008,Sacramento,06067,1394438.0,943834.0,4629.2,558.8,4082.9,5056.2,2347.3,2281.9,52054.0,1720.9,1095.6,1508.8,264.4,22.6,490.5,7653.0,448.0,7205.0,3240.0,1343.0,2354.0,88.0,92.0,810.8,5130.0,11886.2,1259.3,2008,2484904606,771303396,31.04,46052545,18735,0,18735
2009,Sacramento,06067,1408601.0,954442.0,4484.2,521.7,4039.1,4933.1,2377.3,2107.0,52530.0,1779.8,983.7,1519.3,204.0,24.2,469.8,7757.0,438.0,7319.0,3352.0,1352.0,2320.0,86.0,86.0,812.7,5083.0,12075.3,1265.2,2009,2527825860,760427464,30.08,42043994,18707,0,18707
2010,Sacramento,06067,1422047.0,963673.0,4133.2,553.6,3572.4,4365.3,2290.6,1842.7,53598.0,1586.2,903.6,1385.4,186.3,20.7,428.9,7665.0,382.0,7283.0,3383.0,1313.0,2203.0,83.0,87.0,795.4,4904.0,11150.1,1157.0,2010,2181703524,633414615,29.03,33365624,20624,0,20624
2011,Sacramento,06067,1436890.0,974137.0,4033.2,527.9,3505.4,4318.0,1806.2,2227.0,52514.0,1528.6,895.7,1364.1,183.7,19.1,414.0,7165.0,341.0,6824.0,3177.0,1228.0,2024.0,92.0,79.0,735.5,4308.0,10729.4,1101.4,2011,2211419968,642143126,29.04,30032426,21315,0,21315
2012,Sacramento,06067,1450475.0,979877.0,4061.2,445.7,3614.8,4454.3,1966.4,2094.9,48053.0,1516.0,914.7,1383.6,186.6,18.1,414.5,6601.0,280.0,6321.0,2945.0,1161.0,1819.0,109.0,70.0,673.7,1349.0,10512.1,1072.8,2012,2133866898,649654876,30.44,37870268,25895,0,25895
2013,Sacramento,06067,1465468.0,986582.0,4202.0,728.2,3463.6,4863.2,2312.2,1889.8,49677.0,1543.6,958.8,1440.8,194.6,17.6,425.9,6737.0,295.0,6442.0,2942.0,1169.0,1828.0,115.0,75.0,682.9,1664.0,10831.2,1097.9,2013,2218914872,669181226,30.16,45219709,31315,0,31315
2014,Sacramento,06067,1485573.0,996925.0,4300.0,702.3,3493.4,4430.2,2054.7,2245.3,53222.0,1519.7,971.6,1450.7,196.2,16.4,431.3,6731.0,315.0,6416.0,2983.0,1184.0,1793.0,128.0,68.0,675.2,1668.0,10992.6,1102.6,2014,2315224744,710180631,30.67,54402643,36696,0,36696
2015,Sacramento,06067,1506925.0,1008979.0,4084.8,435.2,3570.8,4723.9,2262.1,1822.7,55499.0,1425.2,957.0,1368.1,202.3,14.9,404.8,6719.0,312.0,6407.0,3011.0,1219.0,1752.0,133.0,63.0,665.9,1643.0,10801.2,1070.5,2015,2419603554,756726199,31.27,63308863,39867,0,39867
2016,Sacramento,06067,1527469.0,1020080.0,3867.2,432.3,3351.9,5034.9,1994.8,1872.4,52994.0,1325.3,903.3,1298.6,203.2,14.3,379.1,6913.0,322.0,6591.0,3086.0,1288.0,1794.0,145.0,60.0,677.7,1844.0,10770.7,1055.9,2016,2560203617,839662109,32.8,70451888,15066,4718,19784
2017,Sacramento,06067,1546723.0,1030714.0,3533.0,426.8,3131.4,5059.0,1714.1,1818.9,51991.0,1256.3,795.4,1280.3,192.3,16.1,342.8,6907.0,301.0,6606.0,3097.0,1293.0,1755.0,145.0,71.0,670.1,1643.0,10366.7,1005.8,2017,2657611000,817939000,30.78,79873000,14989,4105,19094
2018,Sacramento,06067,1560992.0,1038025.0,3684.5,459.5,3211.5,4871.1,2032.5,1652.0,51705.0,1012.7,599.5,994.5,148.9,12.9,355.0,6674.0,282.0,6392.0,3028.0,1255.0,1684.0,151.0,72.0,643.0,1531.0,10178.7,980.6,2018,2783826000,860247000,30.9,86125000,14590,3904,18494
2019,Sacramento,06067,1575957.0,1045792.0,3672.0,380.4,3266.6,4109.9,2661.8,1010.2,50288.0,1070.1,657.0,881.0,142.3,10.9,351.1,6446.0,270.0,6176.0,2867.0,1237.0,1641.0,150.0,66.0,616.4,1533.0,9885.1,945.2,2019,2899535000,918419000,31.67,78640000,14599,3739,18338
2020,Sacramento,06067,1586465.0,1050724.0,3052.8,284.5,2771.8,4008.2,2406.6,646.2,39652.0,1191.7,724.2,925.9,175.0,14.5,290.5,,,,,,,,,,,,,2020,3054391211,971534651,31.81,82928256,13910,3469,17379
2021,Sacramento,06067,1588106.0,1050707.0,3225.2,331.6,2863.1,4005.0,2283.4,941.8,30751.0,1259.4,727.6,965.3,193.8,17.1,307.0,,,,,,,,,,,,,2021,3205418543,1007917922,31.44,93528781,8986,3242,12228
2022,Sacramento,06067,1584169.0,1045024.0,3301.5,335.7,2945.6,3938.6,2250.8,1050.7,31892.0,1300.3,740.0,986.8,183.6,17.1,315.9,,,,,,,,,,,,,2022,3351062498,1050490392,31.35,97344975,9708,3022,12730
2023,Sacramento,06067,1584169.0,1045024.0,3097.2,300.8,2726.2,3673.1,1998.2,2098.1,33498.0,1201.1,682.3,902.3,164.5,15.6,296.4,,,,,,,,,,,,,2023,3796113789,1166693660,30.73,110848028,9726,2927,12653
2024,Sacramento,06067,1584169.0,1045024.0,3112.0,,,3651.0,,3112.0,33622.0,,,,,,297.8,,,,,,,,,,,,,2024,3954337643,1261983348,31.91,107312973,9238,2793,12031
2000,San Benito,06069,53781.0,34809.0,103.0,14.7,89.0,100.0,69.1,33.9,1134.0,1.0,74.5,23.2,1.0,,295.9,102.0,6.0,96.0,4.0,67.0,24.0,,,293.0,100.0,202.9,582.8,,,,,,,,
2001,San Benito,06069,54644.0,35719.0,101.5,10.3,89.4,100.0,56.7,44.8,1154.0,2.0,74.2,22.5,0.9,,284.2,96.0,7.0,89.0,,63.0,24.0,,,268.8,107.0,191.5,536.1,,,,,,,,
2002,San Benito,06069,55056.0,35976.0,112.2,9.3,99.6,100.0,56.2,56.1,1105.0,2.7,76.8,28.8,0.9,,312.0,134.0,10.0,124.0,5.0,98.0,25.0,,,372.5,131.0,245.8,683.1,,,,,,,,
2003,San Benito,06069,55198.0,36189.0,107.8,13.2,94.0,104.7,67.0,40.7,2984.0,1.8,76.1,28.7,0.9,,297.7,111.0,8.0,103.0,,80.0,24.0,,,306.7,103.0,216.9,599.3,2003,53140352,15944923,30.01,1282428,403,159,562
2004,San Benito,06069,54849.0,36132.0,123.5,15.5,109.5,123.4,82.8,40.7,3724.0,2.0,94.6,27.4,1.0,,341.8,120.0,11.0,109.0,,87.0,26.0,,,332.1,116.0,236.0,653.2,2004,52757126,16278933,30.86,1334991,355,228,583
2005,San Benito,06069,54647.0,36222.0,124.5,15.4,108.6,125.4,86.7,37.8,3403.0,2.4,98.9,21.7,1.0,,343.7,133.0,14.0,119.0,6.0,96.0,29.0,,,367.2,137.0,256.9,709.1,2005,56747296,18526174,32.65,1450747,335,276,611
2006,San Benito,06069,54124.0,35878.0,119.8,15.0,109.0,127.4,92.3,27.4,3022.0,2.6,98.1,18.1,1.0,,333.8,129.0,10.0,119.0,,92.0,30.0,,,359.6,114.0,248.6,692.9,2006,57970026,20054896,34.6,1534270,296,275,571
2007,San Benito,06069,54072.0,35831.0,118.0,13.8,104.4,129.5,91.0,27.0,3062.0,2.6,96.6,17.8,1.0,,329.3,121.0,8.0,113.0,,82.0,32.0,,,337.7,119.0,238.7,666.3,2007,65490860,21382064,32.65,1816496,330,374,704
2008,San Benito,06069,54267.0,35985.0,121.2,15.2,105.1,131.6,93.5,27.7,2590.0,2.7,99.3,18.3,1.0,,336.9,113.0,9.0,104.0,,80.0,27.0,,,314.0,112.0,233.9,649.9,2008,77049641,23300468,30.24,1908660,279,356,635
2009,San Benito,06069,54436.0,36236.0,122.2,16.8,105.7,133.8,94.3,28.0,2886.0,2.7,100.1,18.5,1.0,,337.4,133.0,6.0,127.0,,108.0,17.0,,,367.0,120.0,254.7,703.0,2009,73108352,24939104,34.11,2169269,202,299,501
2010,San Benito,06069,55526.0,36990.0,126.0,17.0,110.3,135.9,97.2,28.8,2462.0,2.8,103.2,19.0,1.0,,340.6,156.0,11.0,145.0,,116.0,33.0,,,421.7,116.0,281.4,760.6,2010,77546557,24154443,31.15,1899398,154,362,516
2011,San Benito,06069,56151.0,37522.0,131.5,18.3,113.7,138.0,101.4,30.1,2265.0,2.9,107.7,19.9,1.1,,350.5,144.0,7.0,137.0,,104.0,31.0,,,383.8,84.0,274.7,732.2,2011,76736034,27953714,36.43,2240897,362,220,582
2012,San Benito,06069,56777.0,37897.0,131.5,21.4,111.3,140.1,101.4,30.1,1521.0,2.9,107.7,19.9,1.1,,347.0,127.0,5.0,122.0,,92.0,28.0,,,335.1,42.0,257.6,679.8,2012,71120382,24469637,34.41,2517991,385,153,538
2013,San Benito,06069,57465.0,38345.0,120.0,21.6,99.4,141.9,92.1,27.9,924.0,2.8,92.0,26.0,2.1,,312.9,117.0,4.0,113.0,,87.0,24.0,,,305.1,29.0,233.4,608.6,2013,65423236,22113851,33.8,2198961,320,159,479
2014,San Benito,06069,58080.0,38714.0,132.5,19.9,114.3,142.4,95.4,37.1,886.0,2.7,91.6,34.7,3.2,1.2,342.3,111.0,5.0,106.0,,80.0,25.0,,,286.7,25.0,232.2,599.7,2014,67284671,24037302,35.72,2182864,190,174,364
2015,San Benito,06069,58576.0,38943.0,123.8,18.9,107.3,143.5,59.3,64.4,2544.0,1.6,84.9,35.7,3.5,1.0,317.8,107.0,4.0,103.0,,80.0,21.0,,,274.8,30.0,229.8,590.1,2015,72747211,26835432,36.89,2282359,255,111,366
2016,San Benito,06069,59563.0,39617.0,122.2,20.1,101.6,142.1,30.2,92.1,2637.0,1.0,80.2,37.1,3.2,0.9,308.6,115.0,4.0,111.0,,88.0,22.0,,,290.3,30.0,237.2,598.9,2016,72090672,28114374,39.0,2882830,277,136,413
2017,San Benito,06069,60503.0,40214.0,128.5,17.5,111.0,142.0,54.6,73.9,2927.0,2.4,89.6,32.3,2.8,0.9,319.5,131.0,5.0,126.0,,99.0,24.0,,,325.8,55.0,259.5,645.3,2017,72638931,29181581,40.17,3238022,191,121,312
2018,San Benito,06069,61762.0,40965.0,123.2,12.8,110.7,142.0,79.3,44.0,2265.0,3.8,89.3,27.1,4.1,0.9,300.9,136.0,4.0,132.0,,102.0,28.0,,,332.0,42.0,256.4,626.0,2018,87357259,30974903,35.46,3088099,184,140,324
2019,San Benito,06069,63204.0,41771.0,120.0,10.2,106.3,142.0,76.6,81.7,1879.0,,83.8,27.6,5.1,,287.3,121.0,4.0,117.0,,92.0,26.0,,,289.7,38.0,226.9,543.3,2019,104999446,32102869,30.57,3270060,172,143,315
2020,San Benito,06069,64521.0,42484.0,86.7,,,142.0,,86.7,1851.0,,,,,,204.1,,,,,,,,,,,,,2020,110578496,35391884,32.01,3266041,146,99,245
2021,San Benito,06069,66675.0,43998.0,76.0,,,142.0,,76.0,1851.0,,,,,,172.7,,,,,,,,,,,,,2021,131367084,42188552,32.12,3182732,112,53,165
2022,San Benito,06069,67579.0,44677.0,104.0,,,142.0,,104.0,1851.0,,,,,,232.8,,,,,,,,,,,,,2022,123090269,39922790,32.43,3580962,95,102,197
2023,San Benito,06069,67579.0,44677.0,97.2,,,142.0,,97.2,1851.0,,,,,,217.7,,,,,,,,,,,,,2023,144379807,41142427,28.5,4367318,106,114,220
2024,San Benito,06069,67579.0,44677.0,107.0,,,142.0,,107.0,1851.0,,,,,,239.5,,,,,,,,,,,,,2024,179908110,44515060,24.74,4166611,125,101,226
2000,San Bernardino,06071,1718037.0,1104197.0,5097.5,784.4,4440.1,4944.3,3860.0,1237.5,62088.0,1025.2,2222.8,1809.1,95.9,4.4,461.6,10399.0,791.0,9608.0,2621.0,3722.0,3724.0,24.0,76.0,941.8,9349.0,15496.5,1403.4,,,,,,,,
2001,San Bernardino,06071,1760731.0,1139659.0,4970.2,804.1,4203.7,4957.0,3518.1,1452.2,68406.0,993.4,2182.4,1617.4,79.3,5.4,436.1,10048.0,643.0,9405.0,2520.0,3650.0,3551.0,28.0,70.0,881.7,9165.0,15018.2,1317.8,,,,,,,,
2002,San Bernardino,06071,1799791.0,1172025.0,5035.2,810.8,4212.0,4941.4,3625.4,1409.8,61340.0,948.7,2271.6,1597.5,69.0,6.7,429.6,10597.0,728.0,9869.0,2663.0,3992.0,3621.0,21.0,62.0,904.2,9699.0,15618.4,1332.6,,,,,,,,
2003,San Bernardino,06071,1846115.0,1208505.0,5273.2,754.4,4536.6,4879.2,3881.0,1392.3,66242.0,949.2,2451.3,1713.7,68.8,8.4,436.3,10960.0,770.0,10190.0,2741.0,4215.0,3661.0,23.0,66.0,906.9,9683.0,16164.2,1337.5,2003,1844224287,502110615,27.23,37740795,16338,589,16927
2004,San Bernardino,06071,1899065.0,1252744.0,5417.5,782.0,4635.5,4946.0,3997.3,1420.2,78994.0,944.2,2616.2,1645.5,100.6,10.0,432.4,11232.0,770.0,10462.0,2815.0,4428.0,3643.0,26.0,68.0,896.6,10136.0,16565.8,1322.4,2004,1901749513,524418493,27.58,38638938,15153,979,16132
2005,San Bernardino,06071,1943924.0,1290469.0,5526.8,795.8,4748.2,5295.5,4125.0,1401.8,85531.0,1027.5,2644.5,1632.6,125.8,12.2,428.3,11810.0,885.0,10925.0,3004.0,4716.0,3709.0,34.0,71.0,915.2,10700.0,17197.5,1332.7,2005,1947825756,546708961,28.07,41479179,20764,4367,25131
2006,San Bernardino,06071,1974140.0,1318205.0,5407.2,760.4,4646.8,5627.0,4006.3,1401.0,79324.0,1090.2,2459.6,1622.1,115.7,13.2,410.2,12583.0,941.0,11642.0,3237.0,5100.0,3859.0,45.0,83.0,954.6,11502.0,17801.7,1350.4,2006,2033735607,626040634,30.78,48484142,21613,4074,25687
2007,San Bernardino,06071,1992161.0,1334671.0,5547.5,798.7,4775.3,5904.0,4200.1,1347.4,72741.0,1130.5,2614.9,1603.9,115.0,23.7,415.6,12355.0,906.0,11449.0,3329.0,4934.0,3706.0,52.0,69.0,925.7,11475.0,17680.3,1324.7,2007,2140180658,689589696,32.22,46407335,22841,3069,25910
2008,San Bernardino,06071,2003735.0,1343691.0,5573.5,811.3,4773.7,5956.0,4308.6,1264.9,64490.0,1117.8,2802.2,1453.4,106.5,44.3,414.8,12642.0,939.0,11703.0,3530.0,5059.0,3671.0,44.0,79.0,940.8,11926.0,17970.1,1337.4,2008,2260942895,741378467,32.79,61434776,23186,2235,25421
2009,San Bernardino,06071,2013960.0,1353525.0,5849.0,813.8,5058.9,5930.6,4686.9,1162.1,74771.0,1190.3,2992.0,1489.1,103.4,56.4,432.1,12681.0,914.0,11767.0,3570.0,5092.0,3613.0,55.0,82.0,936.9,11092.0,18193.5,1344.2,2009,2303799891,742571978,32.23,61078962,23351,1229,24580
2010,San Bernardino,06071,2040873.0,1374129.0,5576.8,757.9,4835.9,5979.6,4569.2,1007.5,69066.0,1201.7,2722.2,1505.9,90.3,51.7,405.8,12300.0,844.0,11456.0,3483.0,5015.0,3407.0,41.0,86.0,895.1,10143.0,17815.2,1296.5,2010,2341330188,732107333,31.27,54596491,22066,512,22578
2011,San Bernardino,06071,2060169.0,1389974.0,5294.0,722.7,4583.5,5984.0,3698.5,1595.5,62600.0,1040.1,2339.9,1678.8,85.2,48.9,380.9,10843.0,677.0,10166.0,3137.0,4432.0,2924.0,35.0,70.0,780.1,8144.0,15969.4,1148.9,2011,2431957626,731124640,30.06,63560977,21246,245,21491
2012,San Bernardino,06071,2072041.0,1397371.0,5467.2,697.1,4813.1,5984.0,3158.5,2308.7,59751.0,966.2,2394.6,1769.1,101.7,47.9,391.3,9357.0,453.0,8904.0,2764.0,3842.0,2373.0,41.0,62.0,669.6,3021.0,14644.8,1048.0,2012,2411016573,770965439,31.98,72238903,20486,146,20632
2013,San Bernardino,06071,2080362.0,1401810.0,5896.2,740.2,5172.5,6293.8,3406.4,2489.9,62442.0,1159.6,2688.0,1820.1,136.9,47.8,420.6,9213.0,502.0,8711.0,2627.0,3755.0,2292.0,38.0,59.0,657.2,3327.0,14872.3,1060.9,2013,2533111219,785563045,31.01,86382885,22711,174,22885
2014,San Bernardino,06071,2095963.0,1410836.0,5646.8,758.3,4917.0,7532.2,3821.2,1825.5,72630.0,1146.2,2227.0,2011.7,211.5,42.4,400.2,9222.0,490.0,8732.0,2636.0,3881.0,2237.0,41.0,55.0,653.6,3691.0,14713.5,1042.9,2014,2736542872,836509398,30.57,90772627,14447,699,15146
2015,San Bernardino,06071,2111158.0,1418532.0,5211.0,809.6,4515.6,7632.6,4027.4,1183.6,72250.0,1016.3,1802.5,2046.4,256.8,36.8,367.4,8411.0,413.0,7998.0,2414.0,3609.0,1965.0,44.0,52.0,592.9,2933.0,13506.4,952.1,2015,2708672864,857324663,31.65,98153506,14521,129,14650
2016,San Bernardino,06071,2126852.0,1426248.0,5459.0,905.2,4577.8,7630.2,4120.4,1338.6,74504.0,1074.8,2236.0,1824.0,265.8,38.1,382.8,8233.0,404.0,7829.0,2454.0,3540.0,1838.0,45.0,51.0,577.2,3064.0,13588.1,952.7,2016,2715197008,901099370,33.19,103248578,13582,131,13713
2017,San Bernardino,06071,2145244.0,1436317.0,5546.5,870.8,4712.0,7630.0,4038.3,1508.2,75908.0,1097.7,2741.5,1498.6,274.0,39.3,386.2,8343.0,404.0,7939.0,2492.0,3665.0,1822.0,44.0,53.0,580.9,3320.0,13753.7,957.6,2017,2943422540,937764512,31.86,102928293,12766,106,12872
2018,San Bernardino,06071,2160282.0,1443864.0,5493.0,736.5,4779.8,7648.0,3959.1,1533.9,82732.0,1085.9,2751.2,1437.9,,,380.4,7896.0,403.0,7493.0,2360.0,3479.0,1705.0,53.0,43.0,546.9,2865.0,13311.0,921.9,2018,3043189658,970589353,31.89,118401735,12297,87,12384
2019,San Bernardino,06071,2171296.0,1447817.0,5511.5,823.7,4717.8,7699.0,4332.0,1179.5,78180.0,1142.7,2785.1,1350.9,275.5,,380.7,7435.0,361.0,7074.0,2253.0,3254.0,1589.0,52.0,35.0,513.5,2762.0,12678.0,875.7,2019,3567116338,1265126690,35.47,115734360,11548,68,11616
2020,San Bernardino,06071,2183239.0,1453738.0,5263.0,718.9,4439.9,7624.0,4291.5,971.5,65254.0,1176.4,2562.0,1196.3,151.7,11.6,362.0,,,,,,,,,,,,,2020,3868943880,1319331328,34.1,150390789,10125,19,10144
2021,San Bernardino,06071,2192882.0,1462701.0,5184.2,526.0,4816.5,7615.1,4088.5,1095.8,55636.0,1329.7,2784.1,1319.2,56.2,12.4,354.4,,,,,,,,,,,,,2021,4079272861,1474824799,36.15,144697632,9310,22,9332
2022,San Bernardino,06071,2193656.0,1463449.0,5029.8,521.4,4469.6,7560.6,3454.6,1575.1,55519.0,,,,,,343.7,,,,,,,,,,,,,2022,4162251211,1456111153,34.98,149470302,9135,14,9149
2023,San Bernardino,06071,2193656.0,1463449.0,4505.8,540.3,4239.2,7556.0,3250.8,2880.4,54603.0,,,,,,307.9,,,,,,,,,,,,,2023,4539942778,1591637750,35.06,171375097,8688,14,8702
2024,San Bernardino,06071,2193656.0,1463449.0,4408.0,,,7556.0,,4408.0,54521.0,,,,,,301.2,,,,,,,,,,,,,2024,5068608255,1744386516,34.42,187853022,8162,10,8172
2000,San Diego,06073,2827366.0,1899917.0,5389.8,838.8,4565.5,6113.6,2646.2,2743.6,86645.0,1240.4,1929.2,1917.0,37.0,16.9,283.7,13013.0,997.0,12016.0,4051.0,3990.0,4131.0,119.0,142.0,684.9,9051.0,18270.4,961.6,,,,,,,,
2001,San Diego,06073,2869672.0,1938020.0,5151.6,760.7,4355.0,5064.3,2580.3,2571.3,89150.0,1183.7,1845.5,1809.1,67.1,20.1,265.8,12783.0,864.0,11919.0,3850.0,3977.0,4067.0,126.0,140.0,659.6,9026.0,17701.8,913.4,,,,,,,,
2002,San Diego,06073,2900355.0,1969245.0,5119.7,711.4,4343.6,4889.5,2596.7,3821.4,92087.0,1064.2,1874.7,1790.7,108.8,24.1,260.0,12862.0,869.0,11993.0,3811.0,4019.0,4145.0,129.0,139.0,653.1,8748.0,17912.2,909.6,,,,,,,,
2003,San Diego,06073,2914702.0,1983374.0,5311.3,782.2,4515.4,4901.2,,5311.3,95274.0,1017.2,1946.1,1866.4,129.3,31.9,267.8,12472.0,859.0,11613.0,3622.0,3956.0,3973.0,107.0,140.0,628.8,8250.0,17544.6,884.6,2003,2674870648,794636456,29.71,80236018,28229,3065,31294
2004,San Diego,06073,2930007.0,2005555.0,5622.9,835.7,4719.7,4922.2,,5622.9,107714.0,1135.5,2036.7,1974.9,120.0,37.8,280.4,12538.0,904.0,11634.0,3581.0,3997.0,4023.0,132.0,151.0,625.2,8087.0,17963.3,895.7,2004,2779719311,875454363,31.49,91049088,28382,3137,31519
2005,San Diego,06073,2938375.0,2021646.0,5727.3,851.8,4759.2,4781.2,,5727.3,98726.0,1218.3,2090.1,1953.7,140.0,34.2,283.3,12979.0,932.0,12047.0,3777.0,4197.0,4029.0,124.0,145.0,642.0,8556.0,18523.9,916.3,2005,2953236530,926777239,31.38,98702830,24555,3039,27594
2006,San Diego,06073,2947289.0,2038348.0,5583.1,863.8,4724.8,4773.6,,5583.1,97180.0,1246.0,2101.0,1935.8,165.0,30.7,273.9,12924.0,892.0,12032.0,3659.0,4241.0,4017.0,121.0,156.0,634.0,8876.0,18373.6,901.4,2006,2980699452,917198175,30.77,95282941,24074,2899,26973
2007,San Diego,06073,2975742.0,2062278.0,5544.4,834.0,4639.6,4814.1,,5544.4,99951.0,1184.2,2092.5,1878.2,194.1,33.7,268.8,12974.0,898.0,12076.0,3737.0,4278.0,3961.0,112.0,163.0,629.1,8992.0,18427.2,893.5,2007,3202058532,1002413250,31.31,96466811,17192,1213,18405
2008,San Diego,06073,3022116.0,2094283.0,5619.4,830.0,4756.6,4902.1,,5619.4,110256.0,1152.1,2196.9,1864.4,216.9,36.7,268.3,12810.0,899.0,11911.0,3778.0,4206.0,3872.0,110.0,137.0,611.7,8777.0,18335.0,875.5,2008,3524634707,1068621679,30.32,105552447,16569,1073,17642
2009,San Diego,06073,3061203.0,2123145.0,5356.3,775.2,4526.6,4688.5,,5356.3,107156.0,1058.3,2079.8,1816.6,203.5,32.3,252.3,12673.0,831.0,11842.0,3725.0,4247.0,3717.0,119.0,142.0,596.9,8310.0,17853.8,840.9,2009,3593171137,1083848993,30.16,103793693,16092,821,16913
2010,San Diego,06073,3102651.0,2153409.0,4958.4,700.5,4215.7,4690.2,2679.7,3618.6,100311.0,948.6,1887.5,1751.3,189.7,35.2,230.3,12024.0,726.0,11298.0,3509.0,4005.0,3529.0,101.0,154.0,558.4,7652.0,16642.6,772.8,2010,3480891268,1013489263,29.12,89858544,15553,717,16270
2011,San Diego,06073,3133433.0,2173271.0,5003.0,727.4,4214.6,4751.6,2668.3,2334.7,99570.0,982.3,1822.7,1825.0,199.4,39.2,230.2,10909.0,577.0,10332.0,3146.0,3693.0,3151.0,111.0,137.0,502.0,6350.0,15807.6,727.4,2011,3464980984,1037809620,29.95,95535020,13582,601,14183
2012,San Diego,06073,3167868.0,2191175.0,5552.8,872.7,4631.3,5080.7,2821.8,2731.0,97511.0,1134.2,1931.6,2138.1,228.4,34.5,253.4,9608.0,466.0,9142.0,2774.0,3248.0,2776.0,108.0,124.0,438.5,2289.0,15119.9,690.0,2012,3583596425,1099748072,30.69,103513097,12896,664,13560
2013,San Diego,06073,3199847.0,2207443.0,6156.9,990.1,5188.8,5447.2,3163.8,2993.1,93956.0,1268.6,2134.7,2492.8,250.6,37.2,278.9,9339.0,465.0,8874.0,2669.0,3282.0,2627.0,110.0,117.0,423.1,2367.0,15436.8,699.3,2013,3678598346,1130314701,30.73,120944457,12284,660,12944
2014,San Diego,06073,3234759.0,2226300.0,6338.6,1040.1,5258.6,5490.2,3144.6,3194.0,94072.0,1248.4,2140.9,2571.6,278.6,43.3,284.7,9427.0,477.0,8950.0,2621.0,3378.0,2635.0,168.0,123.0,423.4,2770.0,15682.6,704.4,2014,3864895702,1218166636,31.52,135280829,11819,619,12438
2015,San Diego,06073,3262199.0,2240322.0,5561.4,894.9,4560.5,5848.8,2661.1,2900.4,86188.0,1045.7,1935.7,2196.4,223.4,41.8,248.2,8789.0,434.0,8355.0,2423.0,3235.0,2408.0,184.0,118.0,392.3,2323.0,14285.1,637.6,2015,3819505176,1296165711,33.94,137829011,9214,680,9894
2016,San Diego,06073,3283048.0,2249578.0,6104.7,974.6,5072.3,6128.6,3009.0,3095.7,83332.0,1152.9,2229.1,2389.8,199.5,46.0,271.4,8839.0,423.0,8416.0,2430.0,3323.0,2370.0,204.0,107.0,392.9,2379.0,14918.9,663.2,2016,3920874685,1300204278,33.16,134571821,8943,797,9740
2017,San Diego,06073,3292892.0,2248772.0,6287.0,1042.2,5167.3,6154.5,3061.0,3226.0,83123.0,1169.3,2358.7,2435.6,176.8,41.7,279.6,8885.0,425.0,8460.0,2432.0,3356.0,2383.0,218.0,113.0,395.1,2517.0,15170.3,674.6,2017,3820710613,1366725049,35.77,138930712,8607,769,9376
2018,San Diego,06073,3302501.0,2249759.0,6153.0,1009.5,5060.0,6177.7,3367.3,2785.7,82914.0,1158.4,2475.2,2258.8,116.0,24.7,273.5,8720.0,397.0,8323.0,2370.0,3345.0,2328.0,198.0,118.0,387.6,2447.0,14843.1,659.8,2018,4308081088,1476687958,34.28,138085155,8870,760,9630
2019,San Diego,06073,3297009.0,2237877.0,6284.9,942.8,5241.4,6184.0,3869.2,2415.8,78915.0,1191.4,2624.3,2120.6,151.2,15.2,280.8,8672.0,395.0,8277.0,2367.0,3341.0,2282.0,217.0,106.0,387.5,2591.0,14828.1,662.6,2019,4503597579,1569504807,34.85,149351789,9035,715,9750
2020,San Diego,06073,3296045.0,2230198.0,4831.6,621.4,4005.1,6176.6,2974.3,1857.2,62729.0,884.9,1985.5,1506.2,153.6,18.6,216.6,,,,,,,,,,,,,2020,5083693218,1652852506,32.51,151247528,7663,533,8196
2021,San Diego,06073,3274954.0,2208181.0,4472.6,568.2,3840.2,6173.5,2939.1,1533.5,48244.0,913.9,1859.4,1410.2,147.4,22.8,202.5,,,,,,,,,,,,,2021,5829821846,1633730903,28.02,147655641,6360,413,6773
