year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2009,Trinity,06105,13762.0,9043.0,36.0,5.7,30.8,53.0,30.1,5.9,901.0,0.6,,30.6,0.7,4.1,398.1,62.0,,,,,,,,685.6,46.0,98.0,1083.7,2009,41433725,10273209,24.79,894271,320,8,328
2010,Trinity,06105,13813.0,9051.0,39.5,5.6,35.2,53.0,33.0,6.5,1009.0,0.6,,33.6,0.8,4.5,436.4,55.0,,,,,,,,607.7,38.0,94.5,1044.1,2010,35257309,9439123,26.77,838242,321,13,334
2011,Trinity,06105,14129.0,9185.0,49.8,6.3,43.9,53.0,41.6,8.2,1062.0,0.8,,42.4,1.0,5.6,541.6,39.0,,,,,,,,424.6,32.0,88.8,966.2,2011,37586333,10079619,26.82,881836,337,15,352
2012,Trinity,06105,14354.0,9209.0,56.5,6.1,51.9,53.0,47.2,9.3,1110.0,0.9,,48.1,1.1,6.4,613.5,45.0,,,,,,,,488.6,17.0,101.5,1102.2,2012,37749855,10296762,27.28,1041825,338,15,353
2013,Trinity,06105,14659.0,9203.0,53.5,3.3,47.2,53.0,42.4,11.1,850.0,1.5,4.0,43.5,1.1,6.1,581.3,45.0,,,,,,,,489.0,11.0,98.5,1070.3,2013,39844947,11931294,29.94,1128500,181,18,199
2014,Trinity,06105,14751.0,9127.0,52.0,5.3,43.9,53.0,38.2,13.8,781.0,1.7,3.2,39.3,1.0,5.7,569.7,43.0,,,,,,,,471.1,11.0,95.0,1040.9,2014,42866344,11258552,26.26,1162265,121,7,128
2015,Trinity,06105,15160.0,9245.0,51.2,5.8,46.7,53.0,34.3,17.0,762.0,1.4,4.2,41.7,1.2,6.6,554.4,52.0,,,,,,,,562.5,15.0,102.9,1112.8,2015,46230117,11529844,24.94,1203704,80,14,94
2016,Trinity,06105,15247.0,9165.0,52.0,7.1,43.2,53.0,27.3,24.7,748.0,1.1,4.4,39.2,1.2,4.3,567.4,53.0,,,,,,,,578.3,18.0,103.5,1129.3,2016,51195146,12389553,24.2,1435782,82,20,102
2017,Trinity,06105,15524.0,9227.0,51.0,8.4,42.9,52.8,38.9,12.1,737.0,2.8,3.3,42.4,1.7,2.8,552.7,64.0,,,,,,,,693.6,25.0,114.3,1238.9,2017,45492586,12104590,26.61,1406813,64,12,76
2018,Trinity,06105,15798.0,9168.0,64.0,9.6,52.7,52.2,55.8,8.2,657.0,4.0,2.4,54.9,2.0,1.8,698.1,75.0,,,,,,,,818.1,28.0,136.8,1491.6,2018,48201871,12572139,26.08,1405956,64,12,76
2019,Trinity,06105,15941.0,9083.0,60.2,9.9,49.6,52.9,52.9,33.8,626.0,,2.2,56.2,,1.1,663.3,73.0,4.0,69.0,6.0,,56.0,,7.0,803.7,23.0,133.1,1465.0,2019,50792338,13340518,26.26,1613484,68,8,76
2020,Trinity,06105,16089.0,9090.0,55.9,,,53.0,,55.9,623.0,,,,,,614.7,,,,,,,,,,,,,2020,62174682,14156296,22.77,1748997,60,5,65
